"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop"
"PAIGE","F",2014,"American Pit Bull Mix / Pit Bull Mix",10035,"09/12/2014","09/12/2017",2016,"Manhattan",1649114
"YOGI","M",2010,"Boxer",10465,"09/12/2014","10/02/2017",2016,"Bronx",1438159
"ALI","M",2014,"Basenji",10013,"09/12/2014","09/12/2019",2016,"Manhattan",1649114
"QUEEN","F",2013,"Akita Crossbreed",10013,"09/12/2014","09/12/2017",2016,"Manhattan",1649114
"LOLA","F",2009,"Maltese",10028,"09/12/2014","10/09/2017",2016,"Manhattan",1649114
"CHEWBACCA","F",2012,"Labrador Retriever Crossbreed",10013,"09/12/2014","10/01/2019",2016,"Manhattan",1649114
"HEIDI-BO","F",2007,"Dachshund Smooth Coat",11215,"09/13/2014","04/16/2017",2016,"Brooklyn",2621793
"MASSIMO","M",2009,"Bull Dog, French",11201,"09/13/2014","09/17/2017",2016,"Brooklyn",2621793
"LOLA","F",2006,"Miniature Pinscher",10022,"09/13/2014","10/03/2019",2016,"Manhattan",1649114
"LEMMY","F",2005,"Yorkshire Terrier",10003,"09/13/2014","10/26/2017",2016,"Manhattan",1649114
"LUCY","F",2014,"Dachshund Smooth Coat Miniature",11215,"09/13/2014","09/13/2019",2016,"Brooklyn",2621793
"RICKY","M",2014,"German Shepherd Dog",11220,"09/13/2014","09/13/2017",2016,"Brooklyn",2621793
"MURPHY","M",2012,"American Pit Bull Mix / Pit Bull Mix",10463,"09/13/2014","09/28/2017",2016,"Bronx",1438159
"JUNE","F",2010,"Cavalier King Charles Spaniel",11238,"09/13/2014","10/28/2019",2016,"Brooklyn",2621793
"ELIZABETH","F",2013,"Cavalier King Charles Spaniel",10022,"09/13/2014","09/13/2019",2016,"Manhattan",1649114
"AVERY","F",2014,"American Pit Bull Terrier/Pit Bull",10002,"09/13/2014","09/13/2019",2016,"Manhattan",1649114
