"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"HUDSON","M",2017,"Poodle Crossbreed",10075,"12/23/2017","12/23/2018",2017,"Manhattan",1682664,-73.9558204,40.7728432
"NAME NOT PROVIDED","F",2017,"Cocker Spaniel Crossbreed",11378,"11/06/2017","11/06/2018",2017,"Queens",2354054,-73.9095279,40.7224092
"ONYX","M",2011,"Poodle, Miniature",10458,"10/08/2017","11/09/2018",2017,"Bronx",1463004,-73.88601,40.8621792
"ISABELLA","F",2005,"Yorkshire Terrier",11223,"04/25/2017","04/29/2019",2017,"Brooklyn",2636735,-73.977126,40.6009233
"KANDIE","M",2016,"Pomeranian",11229,"01/22/2017","01/22/2018",2017,"Brooklyn",2636735,-73.9447994,40.5988077
"TATE","M",2016,"Poodle, Standard",11213,"09/06/2017","09/06/2018",2017,"Brooklyn",2636735,-73.9389213,40.6722134
"CUBBY","M",2016,"Labradoodle",10024,"06/12/2017","06/12/2022",2017,"Manhattan",1682664,-73.9741874,40.7859464
"TALULLAH","F",2005,"Shih Tzu",10065,"11/20/2017","09/29/2018",2017,"Manhattan",1682664,-73.9624327,40.7645239
"LADY","F",2015,"American Pit Bull Mix / Pit Bull Mix",10026,"09/22/2017","09/26/2018",2017,"Manhattan",1682664,-73.9525825,40.8032131
"NAME NOT PROVIDED","F",2016,"Shih Tzu Crossbreed",10034,"03/10/2017","03/10/2018",2017,"Manhattan",1682664,-73.9212858,40.8721452
"BRUNO","M",2014,"Boxer",11235,"11/15/2017","10/21/2018",2017,"Brooklyn",2636735,-73.9418603,40.5860069
"CREMA","F",2016,"Wheaton Terrier",11232,"04/27/2017","04/27/2018",2017,"Brooklyn",2636735,-74.0079781,40.6560436
"MURPH","M",2012,"Wheaton Terrier",10011,"04/25/2017","06/16/2018",2017,"Manhattan",1682664,-74.0094471,40.7464969
"DAISY","F",2016,"Terrier mix",11201,"09/18/2017","09/18/2022",2017,"Brooklyn",2636735,-73.9859414,40.6986772
"BISCUIT","M",2010,"German Shepherd Dog",10128,"12/05/2017","10/26/2018",2017,"Manhattan",1682664,-73.9506774,40.7826039
"BABY","F",2006,"Miniature Pinscher",11231,"05/17/2017","05/30/2018",2017,"Brooklyn",2636735,-74.0094471,40.6772802
"ACE","M",2014,"Lhasa Apso",10473,"03/18/2017","04/21/2019",2017,"Bronx",1463004,-73.859549,40.811547
"ROXY","F",2015,"German Shepherd Dog",10304,"06/27/2017","06/04/2018",2017,"Staten Island",479458,-74.0916944,40.6047352
"ASHLEY","F",2017,"Rottweiler",11208,"09/15/2017","09/15/2018",2017,"Brooklyn",2636735,-73.8713099,40.6749343
"DIAMOND","M",2006,"Miniature Pinscher",11220,"08/30/2017","10/12/2018",2017,"Brooklyn",2636735,-74.0153231,40.6385229
"GIZMO","M",2017,"Shih Tzu",11207,"08/09/2017","08/09/2018",2017,"Brooklyn",2636735,-73.8918897,40.6655101
"CECILIA","F",2006,"Dachshund Smooth Coat",10024,"03/14/2017","03/29/2018",2017,"Manhattan",1682664,-73.9741874,40.7859464
"DASHIELL","F",2009,"Yorkshire Terrier",11222,"05/05/2017","04/30/2018",2017,"Brooklyn",2636735,-73.9506774,40.7282702
"TINKERBELL","F",2009,"Golden Retriever",10025,"10/27/2017","09/06/2018",2017,"Manhattan",1682664,-73.9683102,40.7999209
"PEARL","F",2008,"Labrador Retriever",10024,"12/07/2017","09/28/2018",2017,"Manhattan",1682664,-73.9741874,40.7859464
"LOOPY","F",2014,"Siberian Husky",10301,"03/28/2017","03/27/2018",2017,"Staten Island",479458,-74.0946311,40.6274394
"SAFFY","F",2011,"Golden Retriever",11231,"11/20/2017","11/20/2018",2017,"Brooklyn",2636735,-74.0094471,40.6772802
"JAKE","M",2008,"Jack Russell Terrier",10306,"07/25/2017","07/09/2019",2018,"Staten Island",479458,-74.1298684,40.5729336
"TEAGAN","M",2010,"Siberian Husky",11201,"03/31/2017","03/31/2018",2017,"Brooklyn",2636735,-73.9859414,40.6986772
"MJ","F",2010,"Golden Retriever",10065,"04/27/2017","04/27/2019",2017,"Manhattan",1682664,-73.9624327,40.7645239
"TOBY","M",2011,"Yorkshire Terrier",11206,"05/17/2017","05/17/2018",2017,"Brooklyn",2636735,-73.9418603,40.7047738
"MARLIN","M",2014,"Chihuahua",10471,"01/31/2017","02/28/2018",2017,"Bronx",1463004,-73.9065883,40.8971509
"BUZZ","M",2007,"Jack Russell Terrier",10028,"09/25/2017","07/30/2018",2017,"Manhattan",1682664,-73.9521468,40.7766412
"WINFREY","F",2017,"Shih Tzu",10021,"06/27/2017","06/27/2018",2017,"Manhattan",1682664,-73.9580246,40.7700703
"XAVI","M",2012,"Jack Russell Terrier",10021,"01/18/2017","01/18/2018",2017,"Manhattan",1682664,-73.9580246,40.7700703
"UNKNOWN","F",2017,"Maltipoo",10468,"09/08/2017","09/08/2018",2017,"Bronx",1463004,-73.8977693,40.8687887
"OSCAR","M",2014,"Havanese",10017,"06/23/2017","07/22/2018",2017,"Manhattan",1682664,-73.9697795,40.7519846
"SEO","F",2017,"Bichon Frise",11201,"06/08/2017","06/08/2018",2017,"Brooklyn",2636735,-73.9859414,40.6986772
"ISABEL","F",2014,"American Staffordshire Terrier",10301,"09/23/2017","10/25/2018",2017,"Staten Island",479458,-74.0946311,40.6274394
"BLUE","M",2015,"Newfoundland",10044,"03/30/2017","05/02/2018",2017,"Manhattan",1682664,-73.9550857,40.7573053
"DINO","M",2009,"Beagle",11201,"06/07/2017","04/13/2018",2017,"Brooklyn",2636735,-73.9859414,40.6986772
"NATSU","M",2014,"Chihuahua",10029,"12/05/2017","01/09/2019",2017,"Manhattan",1682664,-73.9447994,40.7916407
"EDIE","F",2006,"Cavalier King Charles Spaniel",10009,"02/20/2017","03/13/2018",2017,"Manhattan",1682664,-73.9800645,40.7275043
"MINA","F",2015,"Vizsla",10075,"02/16/2017","01/07/2018",2017,"Manhattan",1682664,-73.9558204,40.7728432
"CHUIE","M",2013,"Bull Dog, English",11378,"03/22/2017","04/01/2018",2017,"Queens",2354054,-73.9095279,40.7224092
"EVE","F",2015,"Chihuahua Crossbreed",10009,"07/10/2017","07/10/2018",2017,"Manhattan",1682664,-73.9800645,40.7275043
"RILEY","M",2006,"Irish Setter",11215,"03/06/2017","05/01/2018",2017,"Brooklyn",2636735,-73.9800645,40.6681669
"BABY","M",2008,"Chihuahua",11229,"09/12/2017","09/04/2018",2017,"Brooklyn",2636735,-73.9447994,40.5988077
"TOFU","M",2017,"French Bulldog",11368,"10/03/2017","10/03/2018",2017,"Queens",2354054,-73.8477874,40.7506343
"JEWELS","F",2017,"Terrier mix",10452,"08/29/2017","08/29/2018",2017,"Bronx",1463004,-73.9212858,40.8376318
"DIEGO","M",2011,"Shih Tzu Crossbreed",10029,"06/15/2017","04/26/2019",2017,"Manhattan",1682664,-73.9447994,40.7916407
"BRUNO","M",2014,"American Staffordshire Terrier",10469,"06/30/2017","05/11/2018",2017,"Bronx",1463004,-73.8477874,40.8690303
"PRINCE","M",2016,"Yorkshire Terrier",10029,"03/02/2017","03/02/2018",2017,"Manhattan",1682664,-73.9447994,40.7916407
"JOEY","M",2007,"Boston Terrier",11417,"06/26/2017","05/19/2018",2017,"Queens",2354054,-73.8448469,40.6736207
"LUCKY","M",2016,"Siberian Husky",11368,"08/30/2017","08/30/2018",2017,"Queens",2354054,-73.8477874,40.7506343
"SADIE","F",2012,"Labrador Retriever",11215,"08/06/2017","07/05/2020",2018,"Brooklyn",2636735,-73.9800645,40.6681669
"MAX","M",2015,"Shih Tzu",10035,"07/14/2017","07/28/2018",2017,"Manhattan",1682664,-73.9271644,40.794065
"LADY","F",2002,"Poodle, Standard",10462,"10/27/2017","09/25/2018",2017,"Bronx",1463004,-73.8566087,40.8382522
"PEBBLES","F",2007,"Yorkshire Terrier",10462,"11/16/2017","10/01/2018",2017,"Bronx",1463004,-73.8566087,40.8382522
"LADY","F",2010,"Dachshund",10306,"05/11/2017","05/25/2018",2017,"Staten Island",479458,-74.1298684,40.5729336
"MORENO","M",2016,"American Pit Bull Terrier/Pit Bull",10002,"01/13/2017","01/13/2019",2017,"Manhattan",1682664,-73.9859414,40.7135097
"BEANY","F",2014,"American Pit Bull Mix / Pit Bull Mix",10016,"05/10/2017","05/10/2018",2017,"Manhattan",1682664,-73.9800645,40.74727
"MIA","F",2016,"Australian Cattledog",10305,"05/28/2017","05/28/2018",2017,"Staten Island",479458,-74.0711359,40.5944059
"MAXIMILIAN","M",2011,"Boston Terrier",11379,"11/25/2017","12/13/2018",2017,"Queens",2354054,-73.8801301,40.7182124
"KANGA","F",2012,"Labrador Retriever",10032,"08/28/2017","08/28/2018",2017,"Manhattan",1682664,-73.9447994,40.8409822
"PITOCA","F",2016,"Finnish Spitz",10023,"12/16/2017","12/16/2018",2017,"Manhattan",1682664,-73.9800645,40.7769059
"LUCKY","F",2014,"Golden Retriever",10024,"06/07/2017","08/11/2018",2017,"Manhattan",1682664,-73.9741874,40.7859464
"TANNER","F",2016,"American Pit Bull Mix / Pit Bull Mix",10467,"03/15/2017","03/15/2018",2017,"Bronx",1463004,-73.8713099,40.8723987
"LOVIE","M",2012,"Shih Tzu",10011,"06/23/2017","06/23/2019",2017,"Manhattan",1682664,-74.0094471,40.7464969
"DIESEL","M",2008,"American Staffordshire Terrier",10312,"07/13/2017","05/28/2018",2017,"Staten Island",479458,-74.1827119,40.555548
"JASPER","M",2016,"German Shepherd Dog",10306,"01/03/2017","01/03/2019",2017,"Staten Island",479458,-74.1298684,40.5729336
"ANGEL","F",2016,"Bichon Frise",11433,"03/03/2017","03/03/2018",2017,"Queens",2354054,-73.7860276,40.6997834
"PATCHES","F",2010,"Cocker Spaniel",11214,"05/15/2017","04/26/2018",2017,"Brooklyn",2636735,-73.9982756,40.6046106
"SHMUELY","M",2011,"Shih Tzu",11364,"10/23/2017","11/12/2018",2017,"Queens",2354054,-73.7536695,40.7469886
"PUPPY","F",2017,"Yorkshire Terrier",10453,"08/27/2017","08/27/2018",2017,"Bronx",1463004,-73.9154069,40.8515872
"DOTTY","F",2012,"Border Terrier",11215,"07/08/2017","07/08/2018",2017,"Brooklyn",2636735,-73.9800645,40.6681669
"LOLA","F",2008,"Poodle Crossbreed",11373,"10/15/2017","10/15/2018",2017,"Queens",2354054,-73.8801301,40.737975
"LULU","F",2013,"Bull Dog, French",11215,"04/20/2017","05/31/2019",2017,"Brooklyn",2636735,-73.9800645,40.6681669
"ANDERSON","M",2006,"Scottish Terrier",10021,"05/15/2017","05/30/2018",2017,"Manhattan",1682664,-73.9580246,40.7700703
"SCOUT","F",2008,"Boxer",10013,"04/21/2017","11/07/2017",2017,"Manhattan",1682664,-74.0094471,40.7217861
"LEO","M",2010,"Beagle",11427,"04/26/2017","04/23/2018",2017,"Queens",2354054,-73.7442568,40.7302787
"RUSTY","M",2006,"Chihuahua",11220,"05/24/2017","06/24/2018",2017,"Brooklyn",2636735,-74.0153231,40.6385229
"OLIVER","M",2008,"Shih Tzu Crossbreed",11222,"10/23/2017","11/10/2018",2017,"Brooklyn",2636735,-73.9506774,40.7282702
