"Borough","BreedName","n"
"Bronx","Yorkshire Terrier",677
"Bronx","Shih Tzu",651
"Bronx","Chihuahua",316
"Bronx","Shih Tzu Crossbreed",270
"Bronx","Maltese",266
"Bronx","American Pit Bull Mix / Pit Bull Mix",253
"Bronx","American Pit Bull Terrier/Pit Bull",250
"Bronx","Pomeranian",232
"Bronx","Yorkshire Terrier Crossbreed",185
"Bronx","Chihuahua Crossbreed",178
"Brooklyn","Yorkshire Terrier",1069
"Brooklyn","Shih Tzu",1067
"Brooklyn","Labrador Retriever Crossbreed",781
"Brooklyn","Chihuahua",755
"Brooklyn","Labrador Retriever",617
"Brooklyn","Poodle Crossbreed",616
"Brooklyn","American Pit Bull Mix / Pit Bull Mix",581
"Brooklyn","Shih Tzu Crossbreed",528
"Brooklyn","Maltese",521
"Brooklyn","Pomeranian",439
"Manhattan","Chihuahua",993
"Manhattan","Yorkshire Terrier",910
"Manhattan","Labrador Retriever",849
"Manhattan","Shih Tzu",829
"Manhattan","Goldendoodle",779
"Manhattan","Poodle Crossbreed",770
"Manhattan","Labrador Retriever Crossbreed",727
"Manhattan","Havanese",671
"Manhattan","Cavalier King Charles Spaniel",589
"Manhattan","French Bulldog",576
"Queens","Yorkshire Terrier",920
"Queens","Shih Tzu",814
"Queens","Chihuahua",601
"Queens","Maltese",531
"Queens","Shih Tzu Crossbreed",457
"Queens","Labrador Retriever Crossbreed",406
"Queens","Pomeranian",385
"Queens","Poodle Crossbreed",372
"Queens","Labrador Retriever",358
"Queens","American Pit Bull Mix / Pit Bull Mix",326
"Staten Island","Shih Tzu",435
"Staten Island","Yorkshire Terrier",424
"Staten Island","Labrador Retriever",262
"Staten Island","Maltese",221
"Staten Island","Chihuahua",184
"Staten Island","Labrador Retriever Crossbreed",178
"Staten Island","German Shepherd Dog",168
"Staten Island","Havanese",167
"Staten Island","American Pit Bull Mix / Pit Bull Mix",140
"Staten Island","Shih Tzu Crossbreed",135
